== store_slots (booked_count>0) ==
  slot_start=2026-09-08T01:00:00.000Z capacity=2 booked_count=2
  slot_start=2026-09-08T02:00:00.000Z capacity=2 booked_count=2
  slot_start=2026-09-08T05:00:00.000Z capacity=2 booked_count=2
  slot_start=2026-09-08T05:30:00.000Z capacity=2 booked_count=1
  slot_start=2026-09-08T07:00:00.000Z capacity=2 booked_count=1
  slot_start=2026-09-08T08:00:00.000Z capacity=2 booked_count=1
  slot_start=2026-09-09T01:00:00.000Z capacity=2 booked_count=2
  slot_start=2026-09-09T06:00:00.000Z capacity=2 booked_count=1
  slot_start=2026-09-18T01:00:00.000Z capacity=2 booked_count=1
== appointments (非 cancelled) ==
  id=01M1X1AVHS6535VF9V0EEVBZAG type=boarding status=completed start=2026-09-08T01:00:00.000Z end=2026-09-11T01:00:00.000Z svc=01M1WVC76P8P19PCAKJHBDM985
  id=01M1XSQM5NQXE6S4QERMX49VFN type=grooming status=completed start=2026-09-08T01:00:00.000Z end=2026-09-08T02:00:00.000Z svc=01M1WVC76PTJ5SMQ7F7Q3X3XAH
  id=01M1X9EAZTEK0JYB1MYNRH3W0W type=grooming status=completed start=2026-09-08T02:00:00.000Z end=2026-09-08T03:00:00.000Z svc=01M1WVC76PTJ5SMQ7F7Q3X3XAH
  id=01M1X9QCGW49SCA8MYA3MVR6HY type=grooming status=completed start=2026-09-08T02:00:00.000Z end=2026-09-08T03:00:00.000Z svc=01M1WVC76PTJ5SMQ7F7Q3X3XAH
  id=01M1WYH9QB9Z5PPH6N1S7FZMFM type=grooming status=pending start=2026-09-08T05:00:00.000Z end=2026-09-08T06:00:00.000Z svc=01M1WVC76PTJ5SMQ7F7Q3X3XAH
  id=01M1WZ4AGPAHCGNGH86BSJ07PB type=grooming status=completed start=2026-09-08T05:00:00.000Z end=2026-09-08T06:00:00.000Z svc=01M1WVC76PTJ5SMQ7F7Q3X3XAH
  id=01M1X07YDKEMGQ5GSRZDHVGF1G type=grooming status=completed start=2026-09-08T05:30:00.000Z end=2026-09-08T06:30:00.000Z svc=01M1WVC76PTJ5SMQ7F7Q3X3XAH
  id=01M1X3CQSREWJM4RAQTKRZS5NY type=grooming status=completed start=2026-09-08T07:00:00.000Z end=2026-09-08T08:00:00.000Z svc=01M1WVC76PTJ5SMQ7F7Q3X3XAH
  id=01M1X3GECCJMN3PW1JKH2GX8Z9 type=grooming status=in_service start=2026-09-08T08:00:00.000Z end=2026-09-08T09:00:00.000Z svc=01M1WVC76PTJ5SMQ7F7Q3X3XAH
  id=01M1XW2ZNP805B8EHMVSBWKX9C type=boarding status=pending start=2026-09-09T01:00:00.000Z end=2026-09-11T01:00:00.000Z svc=01M1WVC76P8P19PCAKJHBDM985
  id=01M1XW2ZPTJSPMCTZQAZ5MT4MG type=boarding status=pending start=2026-09-09T01:00:00.000Z end=2026-09-11T01:00:00.000Z svc=01M1WVC76P8P19PCAKJHBDM985
  id=01M1X4KRJ4REMMPVHWEY4QWWEY type=grooming status=in_service start=2026-09-09T06:00:00.000Z end=2026-09-09T07:00:00.000Z svc=01M1WVC76PTJ5SMQ7F7Q3X3XAH
  id=01M1X2C7PF0KP75W9JSC14FSRR type=boarding status=pending start=2026-09-18T01:00:00.000Z end=2026-09-21T01:00:00.000Z svc=01M1WVC76P8P19PCAKJHBDM985
