PASS  dev-login 种子客户
PASS  /home：dock=有 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=true lemon=0 grad=0 emoji=false
PASS  /mall：dock=有 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=true lemon=1 grad=0 emoji=false
PASS  /philia：dock=有 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=true lemon=2 grad=0 emoji=false
PASS  /me：dock=有 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=true lemon=0 grad=0 emoji=false
PASS  /booking/grooming：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=0 grad=0 emoji=false
PASS  /booking/grooming：详情级返回条统一  — backBtn=true
PASS  /booking/boarding：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=0 grad=0 emoji=false
PASS  /booking/boarding：详情级返回条统一  — backBtn=true
PASS  /mall/product/01M2J6BT1T5E8QVTM4EH6N547A：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=1 grad=0 emoji=false
PASS  /mall/product/01M2J6BT1T5E8QVTM4EH6N547A：详情级返回条统一  — backBtn=true
PASS  /mall/cart：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=1 grad=0 emoji=false
PASS  /mall/cart：详情级返回条统一  — backBtn=true
PASS  /mall/checkout：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=1 grad=0 emoji=false
PASS  /mall/checkout：详情级返回条统一  — backBtn=true
PASS  /mall/orders：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=1 grad=0 emoji=false
PASS  /mall/orders：详情级返回条统一  — backBtn=true
PASS  /appointments：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=1 grad=0 emoji=false
PASS  /appointments：详情级返回条统一  — backBtn=true
PASS  /appointments/01M256D240E19GWNG2QMFV3Q8V：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=3 grad=0 emoji=false
PASS  /appointments/01M256D240E19GWNG2QMFV3Q8V：详情级返回条统一  — backBtn=true
PASS  /appointments/01M256D240E19GWNG2QMFV3Q8V/live：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=2 grad=0 emoji=false
PASS  /appointments/01M256D240E19GWNG2QMFV3Q8V/live：详情级返回条统一  — backBtn=true
PASS  /philia/pets：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=0 grad=0 emoji=false
PASS  /philia/pets：详情级返回条统一  — backBtn=true
PASS  /philia/member：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=0 grad=0 emoji=false
PASS  /philia/member：详情级返回条统一  — backBtn=true
PASS  /philia/moments：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=0 grad=0 emoji=false
PASS  /philia/moments：详情级返回条统一  — backBtn=true
PASS  /me/card：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=0 grad=0 emoji=false
PASS  /me/card：详情级返回条统一  — backBtn=true
PASS  /booking/success：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=0 grad=0 emoji=false
PASS  /booking/success：详情级返回条统一  — backBtn=false
PASS  /dev-login：dock=无 / 破版=否 / 渐变=0 / 彩色emoji=0  — dock=false lemon=2 grad=0 emoji=false
PASS  /dev-login：详情级返回条统一  — backBtn=false
PASS  accent 纪律：无屏柠檬黄元素超 3 处（主行动+状态位观察阈）  — 全屏 ≤3
PASS  console 运行期零异常

== 汇总：37/37 PASS ==
